QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is 'git log' used for?,To list files,To view commit history,To delete commits,To view branches,B,git log shows a chronological list of commits in the repository.
How can you view a simplified one-line Git log?,git log -s,git log --compact,git log --oneline,git history,C,git log --oneline displays each commit in a single line format.
Which command compares working directory to staging area?,git compare,git diff,git status,git view,B,git diff shows differences between working directory and index.
Which flag with git log shows patches?,#NAME?,#NAME?,#NAME?,#NAME?,A,git log --patch shows commit logs along with diffs.
How can you filter git log by author?,git log --filter,git log --user,git log --author,git show author,C,Use --author to filter logs by commit author.
What does 'git diff HEAD' show?,All remote changes,Diff between last commit and staging area,Diff between working dir and last commit,Diff between two remotes,C,git diff HEAD shows what has changed since last commit.
How can you see which files changed in a commit?,git commit --files,git show --summary,git log --files,git show <commit>,D,git show <commit> displays the changes and files modified in that commit.
What command shows diff between two commits?,git compare HEAD,git diff <commit1> <commit2>,git show diff,git stat,B,git diff <commit1> <commit2> shows the differences between two commits.
Which command shows only names of changed files?,git diff --files,git diff --summary,git diff --name-only,git diff --compact,C,git diff --name-only lists file names without content differences.
What is the purpose of 'git log --graph'?,To view log as chart,To visualize commit history with branches,To graph diff lines,To monitor branches,B,git log --graph shows a visual representation of the branch and merge history.
How can you search for a word in commit messages?,git log | find,git log --search,git log --grep <word>,git log --filter <word>,C,git log --grep <word> allows searching commit messages for a keyword.
Which option highlights changes inline in git diff?,#NAME?,#NAME?,#NAME?,#NAME?,D,git diff --word-diff shows word-level changes rather than whole-line diffs.
Which command shows a specific commit by its hash?,git log <hash>,git commit <hash>,git show <hash>,git show <hash>,D,git show <hash> displays a full view of a specific commit.
Which command compares the staging area to the last commit?,git diff HEAD,git diff --cached,git compare HEAD,git log -cached,B,git diff --cached shows changes staged but not yet committed.
What does 'git diff --stat' do?,Summarizes the commit count,Shows the number of files changed and lines added/removed,Shows author details,Shows the number of files changed and lines added/removed,D,git diff --stat shows a summary of changes including line counts.
Which command shows file changes per commit in a condensed format?,git log --name-only,git log --compact,git log --name-only,git log --format=oneline,A,git log --name-only shows files changed per commit in short format.
How do you view commit logs from a specific date?,git log --since,git log --start,git log --date-from,git log from:,A,git log --since='2 weeks ago' shows commits made after that point.
Which command lists the commits that modified a file?,git changes <file>,git log --file <name>,git blame,git log <file>,D,git log <file> shows commits that affected the specific file.
How do you check changes made in the last commit?,git show HEAD,git diff HEAD^,git log -1,git recent,A,git show HEAD displays changes made in the latest commit.
What does 'git log --pretty=oneline' do?,Formats log into one line per commit,Formats log into one line per commit,Filters to remote logs,Simplifies diffs,A,This flag compresses commit logs to a single line per commit.
