"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does CD stand for in DevOps?","Continuous Debugging","Continuous Development","Continuous Deployment/Delivery","Centralized Delivery","C","CD refers to Continuous Deployment or Continuous Delivery in DevOps practices."
"Which tool in Azure DevOps is used to create release pipelines?","Azure Boards","Azure Repos","Azure Pipelines","Azure Test Plans","C","Release pipelines are created in Azure Pipelines to automate deployments."
"What is a release pipeline used for?","Monitoring usage","Managing work items","Deploying applications to environments","Running code analysis","C","Release pipelines are used to deploy build artifacts to environments like dev, test, and production."
"What is an environment in Azure Pipelines?","A test case repository","A version control system","A logical set of deployment targets","A container registry","C","An environment defines where and how your application is deployed, like Dev or Prod."
"Which task is commonly used to deploy web apps in Azure?","Azure CLI","Azure Web App Deployment","Azure Powershell","NuGet Restore","B","Azure Web App Deployment task deploys web apps to Azure App Service."
"What are deployment groups in Azure Pipelines?","Azure users","Set of test cases","Target machines for deployments","Docker containers","C","Deployment groups represent collections of target machines for on-prem or cloud deployments."
"What is a pre-deployment approval in release pipelines?","Code review","Required manual approval before proceeding to the next stage","Pipeline retry","Git merge approval","B","Pre-deployment approval requires a designated person to approve deployment to a stage."
"Which file is required for YAML-based CD pipelines?","release.yml","cd.yaml","azure-pipelines.yml","deploy.config","C","YAML pipelines are defined using azure-pipelines.yml file."
"Which task is used to copy files in a release pipeline?","CopyFiles","FileTransfer","MoveFiles","PushFiles","A","CopyFiles task is used to copy artifacts or output files between directories."
"How are artifacts used in release pipelines?","To manage test scripts","To store logs","To transfer build output to deployment","To configure the agent","C","Artifacts from the build pipeline are used as input for deployment in the release pipeline."
"What is the benefit of using approval gates?","Ensures code is encrypted","Reduces manual testing","Adds checkpoints for review and control","Triggers YAML validation","C","Approval gates require verification before advancing to the next deployment phase."
"Which of the following is NOT a valid release pipeline environment?","Production","UAT","Development","Git Repository","D","Git Repository is a source control concept, not a deployment environment."
"What is a stage in a release pipeline?","The location of build artifacts","A step in the approval workflow","A phase representing a deployment target","The version control system","C","Stages in release pipelines represent different phases like Dev, QA, or Prod."
"Which service connection is typically required for deployments?","GitHub","Azure Resource Manager","FTP","Docker Hub","B","Azure Resource Manager connections allow deploying resources to Azure subscriptions."
"Can release pipelines be automated?","No, they must be triggered manually","Only for production","Yes, using continuous deployment triggers","Only using PowerShell","C","Release pipelines can automatically trigger based on build completion."
"How can rollback be handled in Azure Pipelines?","By deleting logs","By restarting agents","Manually redeploying older artifact versions","Using Git revert","C","Rollback involves deploying a previously successful build artifact."
"What is the purpose of a deployment job?","To run static code analysis","To deploy artifacts to the target environment","To create new repositories","To initialize test plans","B","Deployment jobs run the necessary steps to move an app to a deployment target."
"Can approvals be automated in release pipelines?","Yes, using gates and conditions","No, always manual","Only for QA teams","Only on weekends","A","Gates and conditions can automate checks before moving forward."
"What happens if a release stage fails?","Pipeline completes anyway","Build is restarted","Stage is marked as failed and later stages are skipped","Agent is shut down","C","A failure in a stage typically halts the pipeline to prevent bad deployments."
"How are variables secured in CD pipelines?","Via log filtering","Via approval gates","Using secret variables in variable groups","Code comments","C","Secrets are stored securely using secret variables and variable groups."
