"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does ARM stand for in Azure?","Azure Role Management","Azure Resource Manager","Advanced Resource Management","Azure Region Monitor","B","ARM stands for Azure Resource Manager, which is the deployment and management service for Azure."
"What format are ARM templates written in?","YAML","XML","JSON","HCL","C","ARM templates use JSON (JavaScript Object Notation) to define resources and configurations."
"What is the 'resources' section in an ARM template?","Metadata about the user","List of input parameters","Array defining Azure resources to deploy","List of outputs","C","The 'resources' array declares all Azure services to be deployed."
"What does the 'parameters' section define?","Output from the template","Default subscription","Values passed into the template","Admin usernames","C","The 'parameters' section allows customization of deployments by passing in values."
"What section in an ARM template helps reuse calculated values?","parameters","resources","variables","functions","C","The 'variables' section stores values or expressions used multiple times throughout the template."
"What is a benefit of using ARM templates?","Manual infrastructure setup","Repeatable and consistent deployments","Less automation","Slower provisioning","B","ARM templates allow infrastructure to be defined as code for consistent and repeatable deployments."
"What deployment mode adds new resources without affecting existing ones?","Full","Incremental","Scoped","Partial","B","Incremental mode adds or updates resources but doesn't delete any that aren’t specified in the template."
"How do you pass values into an ARM template during deployment?","Azure Portal logs","Output settings","Parameters file or inline input","YAML injection","C","Parameters are passed via a separate parameters file or inline during deployment."
"What does 'dependsOn' do in an ARM template?","Executes monitoring tasks","Delays template upload","Ensures one resource is deployed after another","Triggers alerts","C","'dependsOn' ensures one resource is deployed only after another has completed."
"What is the default behavior of 'complete' deployment mode?","It adds only missing resources","It deletes existing resources not in the template","It skips errors","It disables ARM functions","B","In 'complete' mode, resources not defined in the template are removed from the resource group."
"What is the purpose of the 'outputs' section in an ARM template?","To store logs","To print resource IDs, connection strings, etc.","To define new subscriptions","To trigger backups","B","'outputs' return specific data after a deployment, such as resource IDs or URLs."
"What is a linked template?","A local backup file","A deployment parameter","A nested template referenced via URI","A YAML version of ARM","C","Linked templates enable modular ARM deployments by referencing templates hosted externally."
"Which tool can validate an ARM template before deployment?","Azure Policy","Visual Studio Code only","az deployment validate","terraform validate","C","'az deployment validate' checks for syntax errors and required fields before deployment."
"What is an ARM template function?","A predefined expression used to manipulate data","A manual trigger","A YAML shortcut","A VM automation","A","Functions help manipulate strings, parameters, or logic within the template."
"What is the purpose of 'apiVersion' in a resource block?","Defines the CLI version","Sets the Azure region","Specifies the Azure resource provider version","Configures the user account","C","'apiVersion' determines which version of the resource provider API to use."
"How can you deploy an ARM template via Azure CLI?","az arm deploy","az template run","az deployment group create","az infra build","C","'az deployment group create' is the correct command for deploying ARM templates to a resource group."
"Can ARM templates be version-controlled?","No, they are stored in the Azure Portal","Only as PDFs","Yes, via Git repositories","Only in YAML","C","ARM templates are JSON files and can be stored in Git repositories for version control."
"What is a parameter file used for?","Automating monitoring","Storing secrets","Providing input values for the ARM template","Storing error logs","C","A parameter file supplies values for the parameters defined in the ARM template."
"What happens if a required parameter is missing during deployment?","It uses default values","The deployment fails","It ignores the parameter","It creates an empty resource","B","Deployment fails if a required parameter is not supplied and no default exists."
"How does ARM ensure resources are deployed in the correct order?","Uses subscription type","Manual sorting","'dependsOn' property","Random order","C","The 'dependsOn' property ensures that dependent resources are deployed in the right sequence."
