QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the default behavior when a resource attribute changes?,Ignore the change,Destroy and recreate resource,Terraform plans to update it,Manually apply the change,C,"By default, Terraform detects changes and plans to update the resource."
Which lifecycle argument forces a resource to be replaced before deletion?,force_destroy,prevent_destroy,create_before_destroy,ignore_changes,C,create_before_destroy ensures the new resource is created before the old one is destroyed.
What happens if 'prevent_destroy' is enabled and destroy is triggered?,Terraform deletes the resource anyway,An error is thrown,Terraform archives the resource,Terraform ignores the destroy,B,Terraform throws an error if prevent_destroy is set and destroy is attempted.
What is the best use case for 'prevent_destroy'?,Avoid cost overrun,Protect critical infrastructure,Force plan approval,Disable all changes,B,prevent_destroy ensures critical infrastructure isn't deleted accidentally.
What happens if you use ignore_changes incorrectly?,Terraform crashes,Resource updates are not applied,Destroy is skipped,State is deleted,B,"If used incorrectly, ignore_changes may prevent expected updates."
What is the purpose of the lifecycle block in Terraform?,To define resource dependencies,To control how resources are created or destroyed,To define environment variables,To manage output variables,B,"The lifecycle block modifies the behavior of resource creation, update, and deletion."
Which situation requires 'ignore_changes'?,Frequent automatic updates outside Terraform,All resources are in a module,Providers are missing,Terraform can't detect drift,A,ignore_changes avoids unnecessary plan updates caused by external changes.
Which lifecycle argument helps ignore specific attribute changes?,ignore_diff,ignore_changes,skip_updates,no_update,B,ignore_changes avoids triggering updates when specified attributes change.
What does 'lifecycle' block NOT support?,prevent_destroy,create_before_destroy,ignore_changes,force_recreate,D,There is no lifecycle argument called force_recreate.
Which lifecycle feature is useful for immutable infrastructure?,prevent_destroy,ignore_changes,create_before_destroy,output_protect,C,create_before_destroy is often used to support immutable deployments.
What does 'prevent_destroy' do?,Allows partial deletion,Prevents accidental deletion of a resource,Forces immediate deletion,Ignores updates to a resource,B,prevent_destroy protects critical resources from being destroyed.
How does Terraform behave without any lifecycle block?,Skips apply,Uses default behavior for create/update/delete,Enables full audit trail,Enforces destroy protection,B,"Without a lifecycle block, Terraform performs operations based on detected changes."
What is the purpose of 'create_before_destroy' in lifecycle?,Creates backup before delete,Ensures parallel update,Creates new resource before destroying old,Skips planning stage,C,create_before_destroy ensures availability by avoiding downtime.
What does setting 'ignore_changes = all' do?,Tracks all updates,Prevents tracking any attribute changes,Logs only errors,Resets the resource,B,ignore_changes = all ignores all updates to the resource.
Which block supports lifecycle settings in Terraform?,provider,module,resource,output,C,Only resource blocks support lifecycle customizations.
Which of the following lifecycle arguments is optional?,prevent_destroy,resource_type,provider,depends_on,A,"All lifecycle arguments are optional, but prevent_destroy is commonly used."
What does the lifecycle block modify?,Backend configuration,Provider credentials,Resource behavior during apply,Output logs,C,"Lifecycle block changes how resources are created, updated, and deleted."
Can lifecycle blocks be used in module outputs?,"Yes, always",Only in child modules,"No, lifecycle is only for resources","Yes, for backward compatibility",C,Lifecycle settings apply only to resource blocks.
Where is the lifecycle block defined?,Inside a variable block,Inside a resource block,Outside the configuration,In a state file,B,Lifecycle block is defined inside the resource block.
Which action cannot be controlled by lifecycle block?,Create order,Update strategy,Change notification,Delete protection,C,Lifecycle doesn't handle alerting or notifications.
