"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which namespace is required for file handling in C#?","System.Text","System.IO","System.Net","System.Data","B","System.IO provides classes for file and data stream input/output operations."
"Which class is used to write text to a file?","FileWriter","StreamWriter","TextWriter","BinaryWriter","B","StreamWriter is used for writing text to a file."
"Which method creates a new file or overwrites an existing one?","File.Open()","File.Append()","File.Create()","File.Delete()","C","File.Create() creates a new file or overwrites the existing file."
"Which class is used to read from a file line-by-line?","File","StreamReader","FileStream","TextWriter","B","StreamReader provides functionality to read lines from a file."
"Which method is used to write all text to a file?","File.Write()","File.WriteAllText()","File.Output()","File.SetText()","B","File.WriteAllText() writes the entire string content to a file."
"What happens if File.WriteAllText() is called on an existing file?","Throws an exception","Appends text","Overwrites file","Renames file","C","File.WriteAllText() will overwrite the existing file by default."
"Which method reads the entire file content as a string?","Read()","ReadLine()","ReadAllLines()","ReadAllText()","D","File.ReadAllText() reads the entire file content into a string."
"Which class allows reading a file byte-by-byte?","BinaryReader","StreamReader","TextReader","DataReader","A","BinaryReader is used for reading binary data from streams."
"How do you check if a file exists?","File.IsExists()","File.Check()","File.Exists()","File.HasFile()","C","File.Exists(path) returns true if the specified file exists."
"Which method appends text to a file?","File.AppendText()","File.WriteAllText()","File.Push()","File.AddText()","A","File.AppendText() adds content to the end of the file."
"What does File.Delete() do?","Deletes folder","Clears content","Deletes the specified file","Hides the file","C","File.Delete(path) deletes the file at the specified path."
"Which method reads all lines of a text file?","File.ReadText()","File.ReadLines()","File.ReadAllLines()","File.GetLines()","C","File.ReadAllLines() reads all lines and returns them as a string array."
"Which stream class provides both read and write operations?","StreamReader","StreamWriter","FileStream","FileAccess","C","FileStream supports both reading and writing of binary data."
"What happens if you try to open a non-existing file with StreamReader?","Creates new file","Returns null","Throws FileNotFoundException","Auto generates content","C","StreamReader throws FileNotFoundException if the file does not exist."
"Which method ensures file content is written immediately?","Refresh()","Save()","Flush()","Sync()","C","Flush() forces buffered data to be written to the file."
"Which access mode allows appending data to a file?","FileMode.Append","FileAccess.Write","FileShare.Append","FileControl","A","FileMode.Append opens the file for writing and places the pointer at the end."
"Which of the following is true about FileMode.Create?","Creates a new file if it doesn't exist","Throws error if file exists","Appends data to existing file","Always creates a new file and overwrites","D","FileMode.Create always creates a new file and overwrites if it already exists."
"What is the return type of ReadAllLines()?","string","List<string>","string[]","IEnumerable","C","File.ReadAllLines() returns an array of strings (string[])."
"Which of these classes is not part of System.IO?","FileStream","StreamReader","FileAccess","MemoryCache","D","MemoryCache is part of System.Runtime.Caching, not System.IO."
"What does FileMode.OpenOrCreate do?","Only opens file","Throws error if file does not exist","Opens existing or creates new file if not found","Only creates new file","C","FileMode.OpenOrCreate opens the file if it exists or creates it if it doesn’t."
