"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is a service connection in Azure DevOps?","A GitHub pull request","A connection to external services or resources","A database connection string","A board configuration","B","Service connections allow Azure DevOps to access and deploy to external services like Azure, Docker, etc."
"Which type of service connection is used to connect to Azure resources?","GitHub","Service Bus","Azure Resource Manager","Database","C","Azure Resource Manager (ARM) is the most commonly used service connection for Azure deployments."
"Where do you configure service connections in Azure DevOps?","Azure Boards","Pipelines > Project Settings > Service Connections","Azure CLI","Repos Dashboard","B","Service connections are configured in the Project Settings under Pipelines > Service Connections."
"Which permissions are required to create a service connection?","Basic Read access","Contributor access","Project Administrator","Test User","C","Only users with Project Administrator rights can create or manage service connections."
"Which authentication types are available for Azure service connections?","Username/password only","OAuth and SSH","Service principal (manual or automatic)","SSL Certificate only","C","Azure service connections can use service principals with manual or automatic configuration."
"Which of the following is NOT a valid service connection type?","Azure Resource Manager","Docker Registry","Jenkins","Azure DevOps CLI","D","Azure DevOps CLI is not a service connection, it is a tool for command-line automation."
"Can one service connection be shared across multiple pipelines?","No","Yes","Only within one project","Only within one branch","B","Service connections can be reused in multiple pipelines and stages."
"What does a Docker Hub service connection enable?","CI/CD for mobile apps","Storing build logs","Pushing and pulling container images","Monitoring Azure Boards","C","A Docker Hub service connection is used to push or pull images from Docker registry."
"What is the purpose of a service principal in Azure?","To create Git branches","To provide secure access for apps and automation","To host Azure DevOps extensions","To configure dashboards","B","Service principals are used to securely authenticate applications or automation tools with Azure."
"How can you validate a service connection?","By clicking 'Test' after setup","By running PowerShell commands","Via Azure Monitor","It is not possible","A","Azure DevOps allows you to test the service connection during configuration."
"What happens if a service connection is deleted?","Nothing changes","Pipelines using it will fail","Pipelines auto-reconnect","Work items are affected","B","Pipelines that depend on the deleted service connection will no longer work."
"What role does the service connection play in release pipelines?","It configures UI themes","It provides access to external environments for deployment","It tracks pull requests","It runs unit tests","B","Service connections provide credentials and access details needed to deploy artifacts to target environments."
"Can you restrict access to a service connection?","No, all users can access it","Only through Azure CLI","Yes, using Role-Based Access Control (RBAC)","Only with extensions","C","You can restrict access using Azure DevOps RBAC for security."
"What does the 'Grant access permission to all pipelines' checkbox do?","Enables webhook triggers","Allows all pipelines to use the connection","Deletes the service connection","Disables auditing","B","This option gives every pipeline in the project permission to use the service connection."
"Is it possible to connect to external Git services using a service connection?","No","Yes, via GitHub or Bitbucket service connections","Only on Linux","Only for private repos","B","You can integrate with services like GitHub and Bitbucket using dedicated service connections."
"Which authentication method is required for Docker Registry connections?","OAuth","Personal Access Token (PAT)","Username and Password or Token","RBAC","C","Docker Registry connections usually require a username/password or access token."
"Which pipeline syntax allows use of a service connection?","connection: myService","serviceConnection: 'myConnection'","azureSubscription: 'myConnection'","use: myConnection","C","The 'azureSubscription' keyword is used in tasks to reference a service connection."
"Can service connections be created programmatically?","No, only via UI","Yes, using REST APIs or Azure CLI","Only for Docker","Only through GitHub Apps","B","You can use the Azure DevOps REST API or CLI to create service connections."
"What is required to access Azure using a service connection?","SMTP key","Service principal credentials","Test Plan token","Git repository URL","B","Azure Resource Manager connections use a service principal for access control."
"Which of the following is true about service connections?","They are optional for all pipelines","They allow secure integration with external services","They replace Git repositories","They run on hosted agents only","B","Service connections enable secure external resource access in pipelines."
