"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is a custom hook in React?","A new HTML tag","A reusable function that uses built-in hooks","A Redux middleware","A class component","B","Custom hooks are user-defined functions that call other hooks like useState or useEffect."
"How should a custom hook be named?","With camelCase","Must start with 'use'","Must be in uppercase","Any name is allowed","B","Custom hooks must start with 'use' to be recognized correctly by React's rules of hooks."
"What is a key benefit of custom hooks?","DOM access","Performance boost","Code reuse across components","State management","C","Custom hooks allow you to extract and reuse logic across components."
"Can custom hooks use other hooks?","No","Yes, including useState and useEffect","Only useState","Only in class components","B","Custom hooks can use any other hooks within them, including built-in and other custom hooks."
"What do custom hooks return?","Only JSX","DOM elements","Any values: array, object, function","Always a boolean","C","Custom hooks can return anything – array, object, primitive, or function."
"Why are custom hooks useful for API calls?","They reduce latency","They cache requests","They isolate and reuse API logic","They create components automatically","C","You can move the fetch logic into a custom hook and reuse it in multiple components."
"Can a custom hook include useEffect?","No, it's not allowed","Yes, to manage side effects","Only in useCallback","Only in classes","B","useEffect is commonly used in custom hooks to manage side effects like API calls or subscriptions."
"How do you use a custom hook?","Like a regular function","By wrapping with React.memo","Using useCustomHook tag","Using ref","A","Custom hooks are invoked like functions inside functional components."
"Where should custom hook files be stored?","Anywhere in public folder","Inside use folder","In a separate hooks folder (best practice)","Inside node_modules","C","Storing custom hooks in a dedicated hooks folder keeps code organized."
"Which of the following is a valid custom hook?","function getState() {}","function UseState() {}","function useCounter() {}","useEffect() => {}","C","Custom hooks must start with 'use'."
"What does useCustomHook() typically replace?","useRef","JSX rendering","Duplicate logic in multiple components","Redux store","C","Custom hooks abstract repeated logic into reusable functions."
"Can you conditionally call custom hooks?","Yes","Only inside loops","Only inside conditionals","No, hooks must be called unconditionally","D","Hooks (including custom) must be called in the same order on every render."
"What is a common return type for custom form hooks?","JSX","Input DOM node","Field values and change handlers","Route object","C","Custom form hooks typically return state values and event handlers."
"Do custom hooks retain their state between components?","Yes, globally","No, each call is isolated","Yes, across all renders","Only with Context API","B","Each usage of a custom hook maintains its own isolated state."
"Which of the following is a use case for custom hooks?","Routing logic","Auth session tracking","String formatting","Font size adjustment","B","Custom hooks are ideal for reusable logic like authentication session checks."
"Can custom hooks replace Redux?","Yes, always","No, never","For simple global state scenarios","Only in class components","C","For simple state needs, Context + custom hooks can replace Redux."
"Are custom hooks a React feature or a library?","Third-party","Browser API","React-native only","React feature","D","Custom hooks are a feature of the React framework."
"How can you share logic between unrelated components?","Via props","Custom hooks","Context only","PureComponent","B","Custom hooks allow logic sharing without inheritance or props."
"What can custom hooks manage?","Only state","State, effects, refs, subscriptions","Only styling","Only JSX rendering","B","They can handle all hook-based operations."
"When should you extract a custom hook?","Never","When logic is used by multiple components","Only in class components","Only in global state","B","If multiple components share similar logic, extract it into a custom hook."
