"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is React?","A CSS framework","A JavaScript library for building user interfaces","A database","A programming language","B","React is a JavaScript library developed by Facebook for building fast and interactive user interfaces."
"Who created React?","Google","Microsoft","Facebook","Twitter","C","React was created by Facebook and is maintained by Facebook and a community of developers."
"What is the Virtual DOM?","A real copy of the DOM","A browser extension","A lightweight in-memory representation of the DOM","A rendering engine","C","Virtual DOM is a concept where a virtual representation of the UI is kept in memory and synced with the real DOM."
"Which command is used to create a new React app using CRA?","npm react-create app-name","npm create-react","npx create-react-app app-name","create-react","C","npx create-react-app app-name is the correct command to create a new React app using CRA."
"What is JSX?","JavaScript Extension","Java Syntax Expression","JavaScript XML","JavaScript Xtra","C","JSX stands for JavaScript XML and allows HTML to be written within JavaScript code."
"What is a component in React?","An HTML tag","A reusable piece of UI","A stylesheet","A function only","B","A component is a reusable, self-contained unit that returns React elements to be rendered on the page."
"Which of the following is a valid React component type?","Service component","Function and class components","Only controllers","DOM handler","B","React supports both functional and class-based components."
"How does React update the UI efficiently?","With AJAX","Using real DOM updates","By comparing changes in the Virtual DOM","It reloads the page","C","React uses diffing algorithms on the Virtual DOM and applies minimal updates to the real DOM."
"Which hook is used to add state to functional components?","useData","useProperty","useState","useRef","C","useState is the built-in hook used to add state in functional components."
"Which lifecycle method is called after the component is rendered?","componentDidUpdate","componentWillUnmount","componentDidMount","componentWillMount","C","componentDidMount is invoked immediately after a component is mounted."
"What is the default port used by React development server?","3000","8080","5000","4200","A","React's development server usually runs on port 3000."
"Which CLI tool helps in creating a new React app easily?","CRA","React CLI","npx","npm","A","CRA (Create React App) scaffolds a new project with default configurations."
"What does 'render()' do in a class component?","Creates a route","Renders the component UI","Sets initial state","Attaches DOM listeners","B","render() returns the UI to be displayed for a class-based component."
"What is the use of 'key' prop in lists?","To make list bold","To animate list","To identify which items changed","To store local data","C","Keys help React identify which items have changed, are added, or are removed."
"React is mainly used for building?","Databases","Server-side apps","User Interfaces","Compilers","C","React is primarily focused on building user interfaces or UI components."
"Which symbol is used for fragment shorthand?","<>","[]","{}","##","A","Fragment shorthand in JSX is represented as <> and </>."
"In React, props are?","Mutable","Used to pass data between components","Used only for styling","Optional","B","Props are immutable and used to pass data from parent to child components."
"Which one is NOT a React feature?","Reusable components","Virtual DOM","One-way data binding","Two-way binding by default","D","React follows one-way data binding by default."
"How are React elements created?","Using JSX or React.createElement()","Using document.createElement()","Using HTML5 APIs","Using setElement()","A","React elements can be created using JSX or the React.createElement() method."
"Which package is required to render React in a browser?","react-core","react-router","react-dom","react-client","C","react-dom is used for DOM-specific methods that enable rendering React in a browser."
