"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure Artifacts used for?","Monitoring Azure resources","Managing project boards","Hosting and sharing packages","Code version control","C","Azure Artifacts allows teams to host and share packages such as NuGet, npm, Maven, and Python."
"Which of the following is NOT a supported package type in Azure Artifacts?","npm","Docker","NuGet","Maven","B","Azure Artifacts does not support Docker; it supports NuGet, npm, Maven, Python, and Universal packages."
"What is a feed in Azure Artifacts?","A list of releases","A test report","A container for organizing and sharing packages","A webhook endpoint","C","Feeds are logical containers that organize and share packages in Azure Artifacts."
"How are packages published to Azure Artifacts?","Via pull requests","Using Azure Boards","Using CI build tasks","Via SQL scripts","C","Packages can be published through build tasks during CI builds or manually using command-line tools."
"What command is used to publish NuGet packages?","nuget send","nuget upload","nuget push","nuget deploy","C","'nuget push' command is used to publish packages to a feed."
"What is the use of upstream sources in Azure Artifacts?","To track GitHub commits","To pull packages from external sources like npmjs","To monitor builds","To build ARM templates","B","Upstream sources allow Azure Artifacts to proxy packages from external public registries."
"What is retention policy in Azure Artifacts?","A method to track task time","Defines package expiration rules","Agent limit definition","Release pipeline setting","B","Retention policies define how long packages are retained in the feed before cleanup."
"Which task is used in YAML pipelines to publish artifacts?","PushPackages","NuGetPublish","PublishPipelineArtifact","ArtifactDeploy","C","PublishPipelineArtifact is used to publish pipeline artifacts."
"Can packages in Azure Artifacts be consumed in multiple pipelines?","No","Yes, using feeds","Only in same stage","Only with GitHub","B","Packages published to a feed can be reused across multiple pipelines and projects."
"Which tool can be used to authenticate and connect to Azure Artifacts feeds?","Azure CLI","Azure DevOps API","Artifacts Credential Provider","FTP Client","C","Artifacts Credential Provider helps authenticate with Azure Artifacts feeds securely."
"What are scoped feeds?","Feeds available globally","Feeds limited to specific projects or users","Feeds without security","Feeds used only for releases","B","Scoped feeds are accessible to defined scopes like project-level or organization-level."
"Can you store Python packages in Azure Artifacts?","No","Yes","Only with GitHub integration","Only through private Git servers","B","Azure Artifacts supports Python package hosting and sharing."
"How is package versioning managed in Azure Artifacts?","Using release dates","Manually only","Using semantic versioning","Based on agent pools","C","Packages follow semantic versioning (e.g., 1.0.0) for compatibility and upgrades."
"Which permission allows writing to a feed?","View","Edit","Contributor","Reader","C","Contributors can push packages to feeds, while readers have view access only."
"Can feeds be shared across Azure DevOps organizations?","Yes, with external sharing enabled","No, strictly private","Only through FTP","Only with Service Principals","A","Feeds can be shared with external orgs by enabling sharing settings."
"Where are Azure Artifacts feeds hosted?","On-prem only","Azure Storage","Within Azure DevOps Services","Local Git servers","C","Feeds are securely hosted within Azure DevOps cloud infrastructure."
"What is a universal package?","A globally installed NuGet package","A custom file format used in Azure Artifacts","An ARM template archive","A multi-language package","B","Universal packages are binary packages not tied to a specific language or format."
"Which build task installs packages from Azure Artifacts?","DownloadPackage","NuGetToolInstaller","NuGetCommand","Install-File","C","NuGetCommand installs and restores packages in pipelines."
"What happens when a package is deprecated?","It is automatically deleted","It is archived and cannot be installed","It is marked with a warning for users","It resets its version","C","Deprecated packages show warnings but remain available unless deleted."
"What is the advantage of Azure Artifacts?","Build testing","Secure and centralized package management","Test case reporting","UI design","B","Azure Artifacts provides a central location for managing and sharing packages securely."
