"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the main purpose of Azure Pipelines?","To manage Git repositories","To build, test, and deploy applications","To monitor Azure resources","To write code","B","Azure Pipelines enables Continuous Integration (CI) and Continuous Deployment (CD)."
"What is Continuous Integration (CI)?","Manual testing after deployment","Automated process of merging code changes regularly","A type of Azure resource","Database migration strategy","B","CI is the practice of automatically building and testing code every time a change is committed."
"Which of the following file formats is used for pipeline configuration?",".json",".yml or .yaml",".xml",".ini","B","Azure Pipelines uses YAML files for configuring pipelines."
"What is a build pipeline in Azure DevOps?","A pipeline that handles manual testing","A pipeline that only runs in production","A pipeline that compiles and runs tests on the codebase","A configuration tool for ARM templates","C","A build pipeline automates compiling code, running tests, and producing outputs."
"What is an agent in Azure Pipelines?","A user role","A virtual machine that runs pipeline jobs","A build template","A GitHub account","B","Agents are compute resources used to run jobs in a pipeline."
"What are hosted agents?","Agents deployed on user servers","Azure-provided agents in the cloud","Agents with no internet access","Static templates","B","Hosted agents are managed by Microsoft and run in Azure."
"What does a trigger in a pipeline do?","Defines email alerts","Starts pipeline runs based on events","Creates user permissions","Defines ARM templates","B","Triggers start pipelines automatically based on events like commits or pull requests."
"Which pipeline editor provides a visual drag-and-drop interface?","Classic editor","YAML editor","GitHub Actions","Command line","A","The classic editor in Azure Pipelines provides a GUI interface to design pipelines."
"What is a stage in Azure Pipelines?","A UI element","A logical boundary in a pipeline like build or deploy","An Azure resource","A pipeline permission level","B","Stages help break down the pipeline into different lifecycle phases."
"How can environment variables be passed in YAML pipelines?","Using `env:` key","Through GitHub only","Via Azure CLI","By using secrets only","A","In YAML, the `env:` block is used to define environment variables."
"What is a job in an Azure pipeline?","A single YAML file","A scheduled task","A collection of steps to run on an agent","A unit test","C","A job groups several steps to be executed sequentially on the same agent."
"What command is used to publish build artifacts?","Publish-File","build.publish","PublishBuildArtifacts","PublishPipelineArtifact","D","The PublishPipelineArtifact task is used in YAML pipelines to publish artifacts."
"Which YAML keyword defines pipeline structure?","script","name","pipeline","stages","D","`stages` is used to define structured phases in a pipeline."
"Which type of agent is billed as per usage in Azure DevOps?","Self-hosted","Hosted agent","Static agent","Hybrid agent","B","Hosted agents are billed based on parallel job usage and minutes consumed."
"What happens if a build fails?","It gets deployed","The pipeline continues anyway","The pipeline fails","A new agent is created","C","If a build task fails, the pipeline is marked as failed."
"Which step ensures a job only runs after another is complete?","condition","dependsOn","triggers","followUp","B","`dependsOn` is used to define job execution order."
"Where do build logs get stored?","Azure Storage","Pipeline Agent VM","Azure DevOps Server","Pipeline run summary","D","Logs are accessible in the pipeline run summary."
"What type of pipelines support multi-platform builds (Windows, Linux, macOS)?","Classic pipelines","Only TFVC","YAML pipelines","ARM pipelines","C","YAML pipelines support cross-platform builds using appropriate agents."
"What is a matrix strategy used for?","Task grouping","Running jobs with different parameters in parallel","Securing repositories","Logging output to multiple files","B","Matrix strategy allows running the same job with multiple configurations."
"How can build artifacts be reused in release pipelines?","Linked from Boards","Exported as .zip only","Published from build pipeline and consumed","Accessed from logs","C","Artifacts published in build pipelines can be used in release stages."
