"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure Monitor used for?","Deploying virtual machines","Monitoring and collecting metrics and logs","Storing Azure functions","Provisioning users","B","Azure Monitor helps you collect, analyze, and act on telemetry data from your Azure resources."
"What is the purpose of Azure Log Analytics?","To analyze costs","To build custom dashboards","To query and analyze log data from various resources","To write firewall rules","C","Log Analytics is used for querying and analyzing telemetry data stored in Azure Monitor logs."
"Which language is used in Log Analytics queries?","SQL","PowerShell","Kusto Query Language (KQL)","Bash","C","KQL is the language used to query data in Azure Monitor, Log Analytics, and Application Insights."
"What does Application Insights monitor?","Network activity","VM usage","Application performance and availability","Subscription billing","C","Application Insights helps monitor and diagnose application issues and performance."
"Which feature in Azure Monitor alerts you to potential issues?","Metrics","Workbooks","Alerts","Azure AD Logs","C","Azure Monitor Alerts proactively notify you when certain conditions are met in your data."
"What is a metric in Azure Monitor?","A diagnostic setting","A data value collected at regular intervals","A query language","A policy rule","B","Metrics are numerical data collected over time that describe the behavior of resources."
"What is the role of Diagnostic Settings in Azure?","Configure billing rules","Apply tags to resources","Send logs and metrics to destinations like Log Analytics or Storage","Enable backups","C","Diagnostic Settings configure where logs and metrics are sent for analysis or storage."
"What can you use Azure Workbooks for?","Deploying web apps","Managing AD users","Creating rich visual reports and dashboards","Enabling MFA","C","Azure Workbooks provide a flexible canvas for data analysis and visualization."
"What type of data does Azure Monitor collect?","Only logs","Only metrics","Metrics, logs, and traces","Only events","C","Azure Monitor collects metrics, logs, traces, and performance counters from resources."
"Which Azure Monitor feature allows real-time stream analytics?","Log Analytics","Metrics Explorer","Azure Stream Analytics","Live Metrics Stream","D","Live Metrics Stream provides real-time data from applications monitored by Application Insights."
"Which resource must be created to store collected logs in Azure Monitor?","App Service Plan","Log Analytics Workspace","Storage Account","Virtual Network","B","A Log Analytics Workspace is the container for data collected by Azure Monitor Logs."
"Which tool allows setting threshold-based alert rules?","Azure CLI","Azure AD","Metrics Alerts","Traffic Manager","C","Metric Alerts in Azure Monitor let you trigger actions based on performance thresholds."
"What is the purpose of action groups in Azure Monitor?","To group users by permissions","To enforce policies","To define how alerts are handled","To classify log types","C","Action groups define how and where alert notifications are sent, such as emails or webhooks."
"Which integration allows Azure Monitor data to be exported to third-party tools?","Application Gateway","Azure Key Vault","Event Hubs","Azure DevTest Labs","C","Azure Event Hubs can be used to stream data from Azure Monitor to external systems."
"What feature of Application Insights supports user session tracking?","Log Search","Live Metrics","Usage Analytics","Performance Counters","C","Usage Analytics in Application Insights provides data on user sessions and interactions."
"Where can you view aggregated metric values over time?","Activity Log","Metrics Explorer","App Insights","Security Center","B","Metrics Explorer helps visualize and analyze metric data trends over time."
"What is Azure Activity Log used for?","Track resource configuration changes","Send email notifications","Visualize SQL queries","Control pricing tiers","A","Azure Activity Logs track control-plane operations and resource changes."
"Which of the following supports querying telemetry data using KQL?","Application Gateway","Activity Log","Log Analytics Workspace","Resource Group","C","Log Analytics Workspaces store data that can be queried with KQL."
"Which Azure service integrates deeply with Azure Monitor to detect performance bottlenecks?","Azure Bastion","Azure Logic Apps","Application Insights","Azure Container Instances","C","Application Insights detects and diagnoses performance issues in your apps."
"Which dashboarding tool in Azure Monitor allows shared team visibility?","Azure Boards","Azure Dashboards","Azure CLI","Blob Explorer","B","Azure Dashboards provide a shared view of performance and monitoring data."
