"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What are React events?","HTML events","Browser-native handlers","Synthetic events that wrap native events","Redux handlers","C","React creates synthetic events to ensure consistency across browsers."
"Which syntax is correct for adding an event handler in JSX?","onclick={handleClick}","onClick='handleClick()'","onClick={handleClick}","click={handleClick}","C","React event names use camelCase and accept function references inside {}."
"How do you pass arguments to event handlers in React?","onClick={handleClick(arg)}","onClick='handleClick(arg)'","onClick={() => handleClick(arg)}","onClick(handleClick(arg))","C","Use an arrow function to pass arguments to event handlers."
"What does event.preventDefault() do?","Stops function","Stops re-render","Prevents the default browser behavior","Deletes DOM node","C","It prevents default browser behavior such as page reload on form submit."
"What event handler is triggered on form submit?","onFormSubmit","onClick","onChange","onSubmit","D","Use onSubmit to handle form submissions in React."
"Which handler is used for input value changes?","onChange","onKeyUp","onInput","onEdit","A","onChange captures input value changes."
"What is e in event handlers?","element ID","error object","event object","endpoint","C","e is the event object representing the browser event."
"How are custom handlers named in React?","useOnClick","myClick","handleClick","startClick","C","React developers commonly use 'handle' as a prefix for event handlers."
"Which of these is a valid way to define an inline event?","<button onClick='alert(1)'>Click</button>","<button onClick={alert(1)}>Click</button>","<button onClick={() => alert(1)}>Click</button>","<button click={() => alert(1)}>Click</button>","C","Arrow functions are valid for inline handlers inside JSX."
"What happens if you call a function directly inside onClick?","Nothing happens","It throws an error","Function executes immediately during render","Function is ignored","C","Calling the function directly executes it during render."
"How to stop event bubbling?","e.stop()","e.block()","e.stopPropagation()","return false","C","e.stopPropagation() prevents the event from bubbling up the DOM tree."
"Which handler would be used for checkbox state?","onSubmit","onClick","onChange","onTick","C","Checkbox state changes are captured using onChange."
"Can you use event handlers in functional components?","No","Yes","Only in class components","Only with props","B","Event handlers work in both class and functional components."
"What does binding refer to in React?","Attaching CSS","Connecting JSX to HTML","Fixing function context to component","Rendering DOM","C","Binding ensures 'this' refers to the correct context inside handlers."
"What’s the best way to bind events in functional components?","Using bind in JSX","Using arrow functions","Using refs","Using classes","B","Arrow functions automatically bind context in functional components."
"Which event occurs on input blur?","onLeave","onFocus","onBlur","onDeselect","C","onBlur fires when an element loses focus."
"What event runs when input gains focus?","onHover","onFocus","onSelect","onEnable","B","onFocus is fired when an input field gains focus."
"Which keyboard event is triggered on pressing a key?","onClick","onFocus","onKeyDown","onEnter","C","onKeyDown is fired when a key is first pressed."
"What is the React alternative to native DOM events?","HTML events","Redux events","Synthetic events","Ajax listeners","C","React uses synthetic events to normalize behavior across browsers."
"How do you get the input value from event?","event.input","event.src","event.target.value","event.innerText","C","event.target.value gives the current value of the input element."
