"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the purpose of jobs in Databricks?","Managing users","Scheduling and automating notebook or script executions","Debugging UI components","Formatting cluster logs","B","Databricks jobs allow automation and scheduling of notebooks, JARs, or Python scripts."
"Which interface is used to create and manage jobs?","Repos","Clusters UI","Jobs UI","Workspace Settings","C","The Jobs tab in Databricks is used to create, manage, and monitor jobs."
"What is a job cluster?","Cluster used only for Git operations","Cluster shared with all users","Cluster created specifically for running a job and terminated afterwards","Permanent interactive cluster","C","A job cluster is a temporary cluster spun up for a job run and shut down afterward."
"How can jobs be triggered in Databricks?","Only manually","Via Databricks CLI, API, or schedule","From Azure Portal only","Only through GitHub","B","Databricks jobs support multiple trigger mechanisms including CLI, API, and schedule."
"What is a task in a Databricks job?","A UI component","A step in the job workflow such as running a notebook","A Spark UI setting","An alert mechanism","B","A task represents a single unit of work in a job, such as running a notebook."
"Can jobs have multiple tasks?","Yes, with dependencies","No, only one task per job","Only in Python jobs","Only in classic UI","A","Jobs can have multiple tasks with dependencies, forming a DAG structure."
"What types of tasks can be added to a job?","Notebooks, JARs, Python scripts","Only Spark jobs","Only SQL scripts","Only CLI commands","A","Databricks supports various task types like notebooks, JARs, and Python scripts."
"Which feature allows sending email notifications from a job?","Repos integration","Webhooks","Alerts tab","Job notifications","D","You can configure job notifications to send emails on success/failure."
"Where is job execution history stored?","Workspace","Cluster logs","Jobs UI run history","Repos","C","Job run history and logs are accessible from the Jobs UI in Databricks."
"Which parameter format is supported for jobs?","Environment variables only","JAR arguments, notebook parameters, Python parameters","CSV config files","No parameters supported","B","Jobs support parameter passing for notebooks, JARs, and scripts."
"What is the purpose of jobs in Databricks?","Managing users","Scheduling and automating notebook or script executions","Debugging UI components","Formatting cluster logs","B","Databricks jobs allow automation and scheduling of notebooks, JARs, or Python scripts."
"Which interface is used to create and manage jobs?","Repos","Clusters UI","Jobs UI","Workspace Settings","C","The Jobs tab in Databricks is used to create, manage, and monitor jobs."
"What is a job cluster?","Cluster used only for Git operations","Cluster shared with all users","Cluster created specifically for running a job and terminated afterwards","Permanent interactive cluster","C","A job cluster is a temporary cluster spun up for a job run and shut down afterward."
"How can jobs be triggered in Databricks?","Only manually","Via Databricks CLI, API, or schedule","From Azure Portal only","Only through GitHub","B","Databricks jobs support multiple trigger mechanisms including CLI, API, and schedule."
"What is a task in a Databricks job?","A UI component","A step in the job workflow such as running a notebook","A Spark UI setting","An alert mechanism","B","A task represents a single unit of work in a job, such as running a notebook."
"Can jobs have multiple tasks?","Yes, with dependencies","No, only one task per job","Only in Python jobs","Only in classic UI","A","Jobs can have multiple tasks with dependencies, forming a DAG structure."
"What types of tasks can be added to a job?","Notebooks, JARs, Python scripts","Only Spark jobs","Only SQL scripts","Only CLI commands","A","Databricks supports various task types like notebooks, JARs, and Python scripts."
"Which feature allows sending email notifications from a job?","Repos integration","Webhooks","Alerts tab","Job notifications","D","You can configure job notifications to send emails on success/failure."
"Where is job execution history stored?","Workspace","Cluster logs","Jobs UI run history","Repos","C","Job run history and logs are accessible from the Jobs UI in Databricks."
"Which parameter format is supported for jobs?","Environment variables only","JAR arguments, notebook parameters, Python parameters","CSV config files","No parameters supported","B","Jobs support parameter passing for notebooks, JARs, and scripts."
