"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does SRE stand for?","Site Reliability Engineering","Software Routing Engine","System Recovery Enterprise","Secure Remote Environment","A","SRE stands for Site Reliability Engineering, focused on making systems reliable and scalable."
"What is the primary goal of SRE?","Build GUIs","Deploy mobile apps","Ensure availability and reliability of systems","Develop front-end frameworks","C","SRE aims to ensure services are reliable, scalable, and efficient."
"What is an SLI in SRE?","Security Layer Index","Site Link Integration","Service Level Indicator","Software License Integration","C","SLI (Service Level Indicator) is a metric that measures aspects of service reliability."
"What does SLO stand for?","System Load Optimization","Service Level Objective","Simple Logic Operation","Server Logging Overview","B","SLO is a target value or range for a service level measured by SLIs."
"What is an SLA?","Software License Agreement","Service License Action","Service Level Agreement","System Link Assignment","C","SLA (Service Level Agreement) is a formal contract with uptime and support commitments."
"What is error budget in SRE?","Spending allowance for hardware","Maximum acceptable error in SLI","A tracking system for outages","Discount margin","B","Error budget is the allowed amount of downtime, calculated as 100% uptime minus SLO."
"What does a runbook provide?","Instructions for customer onboarding","Guides for automating front-end UI","Step-by-step procedures for handling incidents","API rate limits","C","Runbooks contain predefined steps for resolving known incidents."
"What is the use of Azure Monitor in SRE?","Creating resource groups","Load balancing","Monitoring metrics, logs, and incidents","Setting up permissions","C","Azure Monitor is used in SRE for telemetry, insights, and proactive alerting."
"What is incident management?","Scheduling features","Storing database backups","Detecting, resolving, and analyzing outages","Deploying serverless apps","C","Incident management involves responding to and resolving unplanned service interruptions."
"Which of the following is NOT a key principle of SRE?","Automation","Monitoring","Manual configuration","Capacity planning","C","Manual processes are discouraged in SRE, which favors automation."
"What is MTTR in reliability metrics?","Mean Time To Restore","Manual Testing Tool Result","Monthly Test Transfer Rate","Machine to Testing Ratio","A","MTTR stands for Mean Time To Restore, measuring how quickly services recover after failure."
"What is a postmortem in SRE?","A rollback script","A retrospective after an incident","An automated deployment task","A testing log report","B","Postmortems are used to analyze incidents and identify improvements without blame."
"What is chaos engineering?","Encrypting services randomly","Introducing failures to test resilience","Creating bug-free systems","Running load tests only on prod","B","Chaos engineering involves injecting faults to study system behavior under failure conditions."
"Which Azure service helps manage and route API traffic?","Azure DevTest","Azure Key Vault","Azure API Management","Azure Repos","C","Azure API Management helps manage APIs and applies policies like throttling and authentication."
"What is the role of Kubernetes in SRE?","Managing Azure subscriptions","Orchestrating containers for availability and scaling","Building .NET apps","Hosting static websites","B","Kubernetes helps manage containerized applications with built-in resiliency and scaling."
"What is a good use of Azure Logic Apps in SRE?","Container orchestration","Creating VMs","Automating incident responses","Managing DNS zones","C","Logic Apps can automate actions like opening a ticket or restarting a service in response to alerts."
"What does autoscaling help achieve in SRE?","More manual control","Increased latency","Adjust resource capacity based on demand","Disable monitoring","C","Autoscaling dynamically adjusts resources to meet current demand, improving reliability."
"What is Azure Service Health used for?","Creating alerts","Checking Microsoft service issues and outages","Backing up databases","Configuring CI/CD","B","Azure Service Health provides personalized alerts and guidance when Azure service issues affect your resources."
"What is toil in the context of SRE?","Development tools","Manual, repetitive work that provides no enduring value","Load testing scripts","Database schemas","B","Toil refers to repetitive, manual work that should be automated for greater efficiency."
"What should be the first step during a high-severity incident?","Write a blog","Notify customers","Start troubleshooting and communicate via incident channel","Deploy new code","C","During a critical incident, the priority is resolving the issue while keeping stakeholders informed."
