"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which method is commonly used to render lists in React?","forEach()","for...of","map()","while()","C","map() is the preferred method for rendering arrays in React."
"What must be included when rendering lists in React?","ref","key","id","value","B","A unique 'key' prop helps React identify which items have changed."
"What is the purpose of 'key' prop in lists?","To style each item","To control visibility","To track items between renders","To bind events","C","React uses keys to optimize rendering and track items efficiently."
"What happens if you omit 'key' while rendering lists?","Nothing","React throws error","Performance issues may occur","List items won’t render","C","Omitting keys can cause inefficient re-renders and issues with state tracking."
"What value should ideally be used as key?","Array index","Date.now()","Unique item identifier","Random string","C","Keys should be stable and unique, such as item IDs."
"How do you access each element inside map()?","value","item","props","ref","B","map() passes each item of the array as an argument."
"What does this code output: `{items.map(i => <li>{i}</li>)}`?","Object","HTML list","Plain string","Array of strings","B","It renders an unordered list with each item wrapped in <li>."
"What’s wrong with using array index as a key?","Nothing","May break reordering logic","Slower rendering","Fails for string items","B","Using index can cause issues when the list changes (inserts/removes/reorders)."
"Which hook is often used with dynamic lists?","useRef","useMemo","useState","useEffect","C","useState is used to manage and render dynamic lists."
"How can you combine mapping with conditionals?","Inside if block","With && or ternary inside map","Use reduce","You cannot","B","You can use conditional logic inside map for rendering."
"What type of values can be rendered in lists?","Only strings","Only numbers","JSX elements or components","DOM references","C","JSX allows rendering elements and components in lists."
"Can you nest map() inside another map()?","No","Yes","Only in arrays","Only in loops","B","Nested lists (e.g., for subcategories) are rendered using nested map() calls."
"Which HTML element is suitable for rendering array items?","<div>","<form>","<li>","<span>","C","List items are rendered using <li> inside <ul> or <ol>."
"What is returned by map()?","Object","Array","Function","Component","B","map() always returns a new array."
"What happens if map returns undefined?","Error","Nothing is rendered","Default values are used","It logs warning","B","If JSX evaluates to undefined, nothing is rendered."
"Is it mandatory to return something in map callback?","Yes","No","Only in loops","Only for arrays","A","Without return, nothing will be rendered."
"What is a dynamic list?","Hardcoded values","List generated by backend only","List created using array data","List with numbers only","C","Dynamic lists are generated from array data, often fetched via API."
"How can you display a list of components?","map() returning strings","Using setTimeout","map() returning component elements","ReactDOM.render()","C","Use map to return React component instances."
"When should you use fragment <> </> inside map?","To wrap multiple siblings","For performance","To skip return","To create unique keys","A","Fragments help group multiple elements without extra DOM nodes."
"Which alternative method can you use to filter and render?","find()","filter().map()","indexOf()","search()","B","You can filter then map to render selected elements."
