QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the output of calling a method on a null object reference?,0,It runs successfully,NullReferenceException,Compile-time warning,C,Calling a method on a null object reference results in a NullReferenceException.
What is the role of base keyword in C#?,Calls the base class constructor or method,Declares a base class,Defines an interface,Instantiates a class,A,The base keyword is used to call base class methods or constructors.
When is the destructor of a class called?,When new object is created,After constructor,When the object is garbage collected,When program ends,C,Destructors are automatically called when an object is garbage collected.
Which keyword is used to prevent method overriding?,abstract,sealed,static,new,B,The sealed keyword is used to prevent a method from being overridden in a derived class.
What happens if we declare a class as abstract?,It can't contain methods,It cannot be instantiated,It must be static,It becomes sealed,B,Abstract classes cannot be instantiated and are intended to be inherited by subclasses.
What is the use of this keyword?,Refers to current instance of class,Refers to parent class,Returns the object type,Refers to base class,A,The this keyword is used to refer to the current instance of the class.
Which of the following cannot be declared inside an interface?,Property,Method signature,Event,Field,D,Interfaces in C# cannot have fields.
Which of the following is NOT true about objects in C#?,Objects can have fields and methods,Objects are instances of classes,Objects are defined using the interface keyword,Objects can be passed as parameters,C,Objects are not defined using the interface keyword; interfaces only define contracts.
What happens when a constructor is declared private?,The class can’t be used,Prevents instantiation outside the class,Allows unlimited inheritance,Causes compile-time error,B,Private constructors prevent external instantiation of a class, useful in singleton patterns.
Which of the following correctly defines method hiding in C#?,Using the new keyword to hide a base class method,Using override to modify a method,Preventing method override with sealed,Using an interface to override behavior,A,The new keyword is used to hide a base class method in method hiding.
"Which of the following statements about constructors in C# is true?","Constructors can be static only","Constructors cannot be overloaded","Constructors can be overloaded","Constructors must have parameters","C","Constructors in C# can be overloaded by providing multiple constructors with different parameters."
"What happens if a class does not have a constructor defined?","Compilation error","Object can't be created","A default constructor is provided by C# compiler","The class becomes abstract","C","C# automatically provides a default constructor if none is defined."
"Which access modifier makes a class member accessible only within the same assembly?","private","public","internal","protected","C","'internal' allows access only within the same assembly."
"What is the output of accessing a static method using an instance of a class?","Compile-time error","Executes successfully","Only works in static classes","Causes a runtime exception","B","Static methods can be accessed via instances, though it's not recommended."
"Which of the following allows method overriding in C#?","static","virtual","sealed","private","B","Only virtual, abstract, or override methods can be overridden."
"What is required in a class to allow polymorphism?","Static fields","Overloaded constructors","Virtual or abstract methods","Get-only properties","C","Virtual or abstract methods are necessary for polymorphism in C#."
"What does the sealed keyword prevent in C#?","Class instantiation","Inheritance","Overloading","Method calls","B","'sealed' prevents a class from being inherited."
"In C#, what is boxing?","Converting a string to int","Converting a value type to an object","Converting object to value type","Creating a class object","B","Boxing is the process of converting a value type to a reference type (object)."
"Which of the following statements is true about static constructors?","Static constructors are called only once","Static constructors can have parameters","Static constructors are public","Static constructors can be called manually","A","Static constructors are executed once per type and cannot take parameters or be called directly."
"What is the difference between class and struct in C#?","Structs support inheritance","Classes are reference types, structs are value types","Structs can have destructors","Classes are faster than structs","B","Classes are reference types while structs are value types in C#."
