"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure Machine Learning used for?","Managing virtual machines","Developing and deploying ML models","Monitoring storage accounts","Sending notifications","B","Azure Machine Learning is a cloud-based platform for building, training, and deploying machine learning models."
"Which Azure service provides pre-trained AI models for vision, speech, and language?","Azure DevOps","Cognitive Services","Azure SQL","Azure Virtual Machines","B","Azure Cognitive Services provide pre-built AI models for common tasks like vision, language, and speech."
"Which tool is used to visually design ML experiments in Azure?","Azure Stream Analytics","Azure Data Factory","Azure ML Designer","Azure Repos","C","Azure ML Designer is a drag-and-drop tool to create ML workflows without coding."
"What is the purpose of Azure Bot Service?","Host SQL queries","Manage VMs","Build and deploy conversational bots","Monitor pipelines","C","Azure Bot Service helps you develop, test, and deploy intelligent chatbots."
"What does LUIS stand for in Azure?","Language Understanding Intelligent Service","Logical User Integrated System","Linked User Identity Service","Language Utility In Service","A","LUIS is a cloud-based conversational AI service that understands natural language."
"Which service enables form data extraction using AI?","Azure Search","Form Recognizer","Computer Vision","Speech-to-Text","B","Form Recognizer extracts key-value pairs and tables from documents using machine learning."
"What is the use of Azure Cognitive Search?","To build CI/CD pipelines","To provide powerful search capabilities using AI","To send push notifications","To manage subscriptions","B","Cognitive Search enhances document search with AI capabilities like language detection and OCR."
"What is the Speech service used for in Azure?","Generating images","Translating documents","Speech-to-text, text-to-speech, and translation","Scaling databases","C","Azure Speech service offers capabilities like speech recognition, synthesis, and translation."
"Which AI service enables object and face detection in images?","Text Analytics","LUIS","Computer Vision","Translator","C","Computer Vision can analyze content in images, including object and face detection."
"Which service is ideal for sentiment analysis and key phrase extraction?","Form Recognizer","Text Analytics","Azure Synapse","Azure DevOps","B","Text Analytics extracts insights such as sentiment, key phrases, and named entities."
"What is the benefit of AutoML in Azure ML?","Manual configuration of algorithms","Faster storage performance","Automatic selection and tuning of models","Automated billing reports","C","AutoML helps find the best model and parameters for your dataset automatically."
"Which format is used to register and deploy models in Azure ML?",".docx",".pkl or .onnx",".exe",".json","B","Models are commonly saved in formats like .pkl or .onnx for deployment in Azure ML."
"What is the purpose of the Azure AI Gallery?","To manage Azure VMs","To store databases","To share ML experiments and solutions","To host websites","C","Azure AI Gallery allows users to discover and share machine learning experiments and solutions."
"Which Azure AI service translates text between multiple languages?","Azure Bot Framework","LUIS","Translator","Text Analytics","C","Azure Translator is used to translate text across multiple languages."
"What is the function of 'experiments' in Azure ML?","To define billing scopes","To monitor Azure Functions","To run and track ML model training runs","To automate storage replication","C","Experiments in Azure ML track the configurations and metrics of model training runs."
"How can Azure ML models be deployed?","As a local script only","Only on Kubernetes","As REST APIs on various compute targets","As static websites","C","Azure ML allows models to be deployed as REST endpoints for use in apps and services."
"Which Azure AI service helps analyze forms and receipts?","Computer Vision","Form Recognizer","Azure SQL","Text Analytics","B","Form Recognizer extracts data from structured and unstructured documents."
"Which Azure AI service supports transcription of audio files?","Speech Service","Azure Monitor","App Service","Azure Functions","A","The Speech Service can transcribe audio content to text."
"Which Azure service supports drag-and-drop ML development?","Azure CLI","Azure App Gateway","Azure ML Designer","Azure Security Center","C","Azure ML Designer is a visual tool to create ML pipelines without writing code."
"What can you use to trigger ML pipelines automatically in Azure ML?","Azure Storage Account","Azure Event Grid or Schedule","Azure Virtual Network","Azure DNS","B","Pipelines can be triggered based on schedules or events using Event Grid integration."
