"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is a controlled component in React forms?","Component using state to control input values","Component that uses refs","Component controlled by browser","Component that only accepts props","A","In a controlled component, React state is the single source of truth for input values."
"Which event is used to capture changes in input fields?","onKeyPress","onFocus","onChange","onClick","C","onChange captures every change in an input field."
"Which hook is typically used to manage form input values?","useEffect","useRef","useState","useContext","C","useState is used to store and update the value of form fields."
"How do you prevent page reload on form submit?","event.stopPropagation()","event.preventDefault()","return false","React.preventReload()","B","event.preventDefault() prevents the default form submission behavior."
"How can you bind form inputs to component state?","Using innerHTML","value and onChange props","ReactDOM.bind()","props.value only","B","Binding is done using value and onChange props."
"What is an uncontrolled component?","Uses state to control inputs","Uses props only","Uses refs instead of state","Bound with redux","C","Uncontrolled components use refs to access the DOM elements directly."
"Which HTML attribute sets default value in uncontrolled components?","defaultValue","value","inputValue","startWith","A","defaultValue is used to set the initial value for uncontrolled components."
"Which input type allows selecting one of several options?","Checkbox","Radio","Text","Range","B","Radio buttons are used for selecting a single option from a list."
"What is form validation?","CSS styling","Sending form data to API","Checking input data before submission","Storing input in state","C","Validation ensures user inputs meet required criteria before submission."
"Which method updates form input state?","useRef","setState","useEffect","submitForm","B","setState (or the setter from useState) is used to update form values."
"In a controlled component, what controls the input value?","The HTML element","JavaScript directly","React state","Browser memory","C","React state controls input value in a controlled component."
"Which hook provides the ability to control form state in function components?","useMemo","useState","useLayoutEffect","useRef","B","useState is used to manage form state."
"Which prop do you use to update checkbox values?","onUpdate","onToggle","onChange","onCheck","C","onChange handles input and checkbox value changes."
"What value type does checkbox onChange return?","event.target.value","event.target.checked","event.value","event.checked","B","event.target.checked is used to get checkbox state."
"Which method is best to track multiple inputs in a form?","useEffect","Single useState object with field keys","Multiple components","ComponentDidMount","B","Using one useState object for all input fields is efficient."
"What’s the purpose of 'name' attribute in form inputs?","Styling input fields","Binding with form elements","Identifying the field name in event.target","Fetching data from API","C","The name attribute helps identify the input field in event.target.name."
"How do you reset form values in React?","Clear state manually","useForm.clear()","form.resetForm()","event.reset()","A","Manually reset state for each input to clear the form."
"How do you perform validation on blur?","onChange","onSubmit","onFocus","onBlur","D","onBlur fires when a field loses focus and can be used for validation."
"What is the use of pattern attribute in input?","CSS styles","Default value","Client-side validation","Button styles","C","The pattern attribute allows regex-based validation on the client side."
"What does e.target.value return?","Input element","Event handler","Current value of input","Event type","C","e.target.value gives the current value of the input element."
