"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which namespace provides threading support in C#?","System.Threading","System.IO","System.Threading.Tasks","System.Concurrency","A","System.Threading contains classes and interfaces for multithreaded programming."
"Which class is used to create a new thread in C#?","ThreadTask","Threader","Thread","Worker","C","The Thread class from System.Threading is used to create and manage threads."
"Which method starts a thread?","Run()","Start()","Begin()","Execute()","B","The Start() method is used to start thread execution."
"Which method pauses a thread for a specific duration?","Sleep()","Wait()","Pause()","Stop()","A","Thread.Sleep(milliseconds) pauses the current thread for the specified time."
"Which method blocks the calling thread until a thread terminates?","Suspend()","Abort()","Join()","Wait()","C","Thread.Join() blocks the calling thread until the thread finishes."
"Which of the following is used for thread synchronization?","if-else","switch-case","lock","goto","C","The lock keyword is used to ensure thread-safe operations on shared resources."
"What happens if two threads access the same data without synchronization?","Exception is thrown","Guaranteed correct result","Race condition may occur","System crash","C","Without synchronization, race conditions can cause incorrect program behavior."
"Which class is used for signaling between threads?","SignalManager","AutoResetEvent","Monitor","Notify","B","AutoResetEvent is used to signal between threads for coordination."
"What is a thread pool?","Database for threads","Pre-created set of worker threads","A thread that sleeps","A background process","B","Thread pools manage a set of threads ready to perform tasks, improving performance."
"Which class represents a thread-safe collection?","List<T>","Dictionary<TKey, TValue>","ConcurrentQueue<T>","ArrayList","C","ConcurrentQueue<T> is a thread-safe collection in System.Collections.Concurrent."
"Which property checks if a thread is running in the background?","IsRunning","IsForeground","IsAlive","IsBackground","D","IsBackground property indicates if a thread is running as a background thread."
"Which keyword is used to create a thread-safe block of code?","sync","threadsafe","lock","await","C","lock ensures that one thread executes a code section at a time."
"What is the result of calling Thread.Sleep(0)?","Terminates the thread","Pauses thread for a day","Yields thread’s remaining time slice","Throws exception","C","Thread.Sleep(0) yields the rest of the thread’s time slice to other threads."
"Which method can forcibly terminate a thread?","Stop()","Kill()","Abort()","End()","C","Thread.Abort() is used to terminate a thread forcibly (though deprecated in modern use)."
"What does Thread.CurrentThread return?","A new thread","The main thread only","The currently executing thread","Last completed thread","C","Thread.CurrentThread gives reference to the thread currently executing."
"What does volatile keyword ensure in threading?","Thread stops on exception","Only background threads are created","Field value is always read from memory","Thread uses reflection","C","volatile ensures visibility of field changes across threads."
"Which class is used to create and manage asynchronous tasks?","AsyncWorker","ThreadWorker","Task","Action","C","Task class in System.Threading.Tasks represents asynchronous operations."
"Which method is used to wait for multiple threads to complete?","WaitAll()","JoinAll()","Complete()","TaskGroup()","A","Task.WaitAll() waits for all provided tasks to complete."
"What is the purpose of using Thread.Join()?","To start multiple threads","To kill a thread","To block until a thread finishes","To suspend a thread","C","Thread.Join() blocks calling thread until the joined thread terminates."
"What will happen if lock is not used in multithreading?","Code runs faster","Compile error","Race conditions can occur","Deadlock","C","Without proper synchronization like lock, race conditions may occur."
