"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is ILogger used for in .NET Core?","Managing DI lifetimes","Handling HTTP routing","Writing logs for applications","Reading configuration files","C","ILogger is the core interface for logging information in .NET Core."
"Where is logging configured in .NET Core applications?","Startup.ConfigureServices","Startup.Configure","Program.cs during Host creation","Controllers","C","Logging is configured in Program.cs during Host creation using ConfigureLogging()."
"Which NuGet package is used for Serilog integration?","Microsoft.Extensions.Logging.Console","Serilog.Extensions.Hosting","Serilog.EntityFramework","Log4Net.Core","B","Serilog.Extensions.Hosting is used to integrate Serilog with the Host builder."
"Which logging level represents critical errors?","Debug","Trace","Information","Critical","D","Critical is the highest severity level indicating application failure."
"Which logging level is the most verbose?","Trace","Debug","Information","Warning","A","Trace provides the most detailed logging and is useful for deep diagnostics."
"What does the AddConsole() method do?","Adds Razor Pages support","Adds in-memory caching","Enables logging to console","Logs to a file","C","AddConsole() configures a provider to write logs to the console output."
"Which method writes a log entry in ILogger?","LogMessage()","WriteLine()","LogInformation()","SendLog()","C","LogInformation() logs general information messages."
"How can you control logging verbosity?","ConfigureServices","UseMiddleware","Logging levels in appsettings.json","Static files","C","Logging levels can be configured in appsettings.json under the Logging section."
"What is the purpose of LogLevel.Warning?","Logs successful operations","Logs diagnostic info only","Logs potential issues that don't stop execution","Stops the application","C","Warning indicates potential problems that might require attention."
"What does ILogger<T> represent?","Logging for generic type T","Static logging","Console logging only","File-based logging","A","ILogger<T> provides logging for a specific class, typically injected via DI."
"How do you inject ILogger into a class?","Using IConfiguration","Using constructor injection","Using app.UseLogger()","Via appsettings.json","B","ILogger<T> is injected through the class constructor as part of DI."
"What type of logs should be written using LogError?","Validation messages","System status","Recoverable runtime errors","Debug information","C","LogError is used for logging errors that occur during app execution."
"What does UseSerilog() do?","Starts the app","Connects to SQL","Sets Serilog as the logging provider","Removes console logging","C","UseSerilog() replaces the default logger with Serilog."
"Which setting controls the minimum logging level?","Logging:Format","Logging:Level","Logging:LogLevel:Default","Logging:Verbose","C","Logging:LogLevel:Default sets the base logging level in appsettings.json."
"Which logging provider is used for writing logs to a file?","ConsoleLoggerProvider","EventSourceLoggerProvider","FileLoggerProvider (via Serilog/NLog)","DebugLoggerProvider","C","File-based logging is implemented using providers like Serilog or NLog."
"Which method disables all logging below a level?","SetLogLevel()","ConfigureFilter()","SetMinimumLevel()","AddLoggingThreshold()","C","SetMinimumLevel() in Serilog configures the lowest level of logs to be recorded."
"What does AddDebug() do?","Adds logs to a file","Enables logging to debug output","Displays logs in browser","Logs API responses only","B","AddDebug() adds logs to the debug window during development."
"What is the purpose of ILoggerFactory?","To create Razor pages","To instantiate loggers","To compile config files","To display MVC views","B","ILoggerFactory creates instances of ILogger for different categories/types."
"Which logging level should be used for diagnostic logs?","Critical","Trace","Error","Information","B","Trace is used for detailed logs helpful in diagnosing issues."
"Which extension method allows customizing JSON logging settings?","AddJsonLogger()","AddJsonOptions()","ConfigureLoggingJson()","AddJsonFile()","D","AddJsonFile() loads configuration from JSON files including logging settings."
